A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
Base,Full,MAP,150,0.26579212266157576,0.3566062886345394,-0.09081416597296366,9408.0,0.013447664842024759,-0.1637333333333333,small,,,,,
Base,ExplIdCode,MAP,150,0.26579212266157576,0.3592699260199088,-0.09347780335833306,9433.0,0.014786339444487552,-0.16151111111111116,small,,,,,
ExplIdCode,Explanation,MAP,150,0.3592699260199088,0.28847559954485663,0.07079432647505218,12558.5,0.07978575185834898,0.11631111111111103,negligible,,,,,
Explanation,Full,MAP,150,0.28847559954485663,0.3566062886345394,-0.06813068908968278,9956.5,0.08323685763280637,-0.11497777777777785,negligible,,,,,
Base,IdCode,MAP,150,0.26579212266157576,0.34852352992056296,-0.0827314072589872,10251.0,0.17713445946180006,-0.08879999999999999,negligible,,,,,
Base,IdCodeStackErr,MAP,150,0.26579212266157576,0.3322498232774118,-0.06645770061583606,10307.5,0.20402382444220457,-0.08377777777777773,negligible,,,,,
ExplIdCode,IdCodeStackErr,MAP,150,0.3592699260199088,0.3322498232774118,0.027020102742497,12047.0,0.2848629802466017,0.07084444444444449,negligible,,,,,
Full,IdCodeStackErr,MAP,150,0.3566062886345394,0.3322498232774118,0.0243564653571276,12000.0,0.3141346364964449,0.06666666666666665,negligible,,,,,
ExplIdCode,IdCode,MAP,150,0.3592699260199088,0.34852352992056296,0.010746396099345856,11928.5,0.36173456579797847,0.060311111111111204,negligible,,,,,
Full,IdCode,MAP,150,0.3566062886345394,0.34852352992056296,0.008082758713976457,11893.5,0.3869325965066477,0.05719999999999992,negligible,,,,,
Base,Explanation,MAP,150,0.26579212266157576,0.28847559954485663,-0.022683476883280873,10707.5,0.46624574758875814,-0.048222222222222166,negligible,,,,,
Explanation,IdCode,MAP,150,0.28847559954485663,0.34852352992056296,-0.060047930375706327,10816.5,0.5596052546266957,-0.03853333333333331,negligible,,,,,
Explanation,IdCodeStackErr,MAP,150,0.28847559954485663,0.3322498232774118,-0.043774223732555184,10870.5,0.6103153121316269,-0.03373333333333328,negligible,,,,,
IdCode,IdCodeStackErr,MAP,150,0.34852352992056296,0.3322498232774118,0.016273706643151142,11279.5,0.9687112470572177,0.0026222222222223035,negligible,,,,,
ExplIdCode,Full,MAP,150,0.3592699260199088,0.3566062886345394,0.0026636373853693995,11260.0,0.9898538099326091,0.000888888888888939,negligible,,,,,
