A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
ExplIdCode,IdCode,Hit,150,0.7333333333333333,0.64,0.09333333333333327,,0.01762209096232446,0.09333333333333327,negligible,8,22,-14,-0.4666666666666667,0.36363636363636365
ExplIdCode,Explanation,Hit,150,0.7333333333333333,0.6666666666666666,0.06666666666666665,,0.033894853524689315,0.06666666666666665,negligible,4,14,-10,-0.5555555555555556,0.2857142857142857
ExplIdCode,IdCodeStackErr,Hit,150,0.7333333333333333,0.6533333333333333,0.07999999999999996,,0.03763531378731433,0.08000000000000007,negligible,8,20,-12,-0.42857142857142855,0.4
Base,ExplIdCode,Hit,150,0.6533333333333333,0.7333333333333333,-0.07999999999999996,,0.044609718024939626,-0.07999999999999996,negligible,21,9,12,0.4,2.3333333333333335
Full,IdCode,Hit,150,0.72,0.64,0.07999999999999996,,0.05922970372727965,0.08000000000000007,negligible,11,23,-12,-0.35294117647058826,0.4782608695652174
Explanation,Full,Hit,150,0.6666666666666666,0.72,-0.053333333333333344,,0.08011831372763438,-0.05333333333333323,negligible,12,4,8,0.5,3.0
Full,IdCodeStackErr,Hit,150,0.72,0.6533333333333333,0.06666666666666665,,0.10034824646229089,0.06666666666666665,negligible,10,20,-10,-0.3333333333333333,0.5
Base,Full,Hit,150,0.6533333333333333,0.72,-0.06666666666666665,,0.11161176829829215,-0.06666666666666665,negligible,21,11,10,0.3125,1.9090909090909092
ExplIdCode,Full,Hit,150,0.7333333333333333,0.72,0.013333333333333308,,0.6170750774519739,0.01333333333333342,negligible,1,3,-2,-0.5,0.3333333333333333
Explanation,IdCode,Hit,150,0.6666666666666666,0.64,0.026666666666666616,,0.6582534143112833,0.026666666666666616,negligible,21,25,-4,-0.08695652173913043,0.84
IdCode,IdCodeStackErr,Hit,150,0.64,0.6533333333333333,-0.013333333333333308,,0.6830913983096086,-0.013333333333333308,negligible,4,2,2,0.3333333333333333,2.0
Base,Explanation,Hit,150,0.6533333333333333,0.6666666666666666,-0.013333333333333308,,0.8638317428547264,-0.01333333333333342,negligible,18,16,2,0.058823529411764705,1.125
Explanation,IdCodeStackErr,Hit,150,0.6666666666666666,0.6533333333333333,0.013333333333333308,,0.8743670611628918,0.013333333333333197,negligible,19,21,-2,-0.05,0.9047619047619048
Base,IdCodeStackErr,Hit,150,0.6533333333333333,0.6533333333333333,0.0,,0.8743670611628918,0.0,negligible,20,20,0,0.0,1.0
Base,IdCode,Hit,150,0.6533333333333333,0.64,0.013333333333333308,,0.8801684549067255,0.01333333333333342,negligible,21,23,-2,-0.045454545454545456,0.9130434782608695
