A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
ExpIdSnippets,Expl,MAP,300,0.5969193121693122,0.44623148148148145,0.1506878306878307,54097.5,8.770514537320361e-06,0.2021666666666666,small,,,,,
AllField,Expl,MAP,300,0.5923412698412699,0.44623148148148145,0.14610978835978844,53781.5,1.7945214984894858e-05,0.19514444444444434,small,,,,,
Baseline,ExpIdSnippets,MAP,300,0.503419312169312,0.5969193121693122,-0.09350000000000014,39048.5,0.0032343971337540204,-0.13225555555555557,negligible,,,,,
AllCode,Expl,MAP,300,0.5650899470899471,0.44623148148148145,0.11885846560846564,50917.0,0.0037274766067604964,0.13148888888888877,negligible,,,,,
AllField,Baseline,MAP,300,0.5923412698412699,0.503419312169312,0.08892195767195787,50689.5,0.0049026031208349195,0.1264333333333334,negligible,,,,,
ExpId,Expl,MAP,300,0.5282116402116402,0.44623148148148145,0.08198015873015879,49952.5,0.016263682531790096,0.11005555555555557,negligible,,,,,
Expl,IdSnippets,MAP,300,0.44623148148148145,0.5507804232804233,-0.10454894179894186,40290.0,0.020913686169970285,-0.10466666666666669,negligible,,,,,
ExpId,ExpIdSnippets,MAP,300,0.5282116402116402,0.5969193121693122,-0.06870767195767191,40849.5,0.04026417708919983,-0.09223333333333328,negligible,,,,,
AllField,ExpId,MAP,300,0.5923412698412699,0.5282116402116402,0.06412962962962965,48851.0,0.05717912802737214,0.08557777777777775,negligible,,,,,
ExpIdSnippets,IdSnippets,MAP,300,0.5969193121693122,0.5507804232804233,0.04613888888888884,48370.5,0.09126641227507479,0.07489999999999997,negligible,,,,,
AllField,IdSnippets,MAP,300,0.5923412698412699,0.5507804232804233,0.041560846560846576,48176.0,0.11177373182065095,0.07057777777777785,negligible,,,,,
AllCode,Baseline,MAP,300,0.5650899470899471,0.503419312169312,0.06167063492063507,48016.5,0.13433408540894884,0.06703333333333328,negligible,,,,,
Baseline,Expl,MAP,300,0.503419312169312,0.44623148148148145,0.057187830687830565,47542.0,0.21655387854763908,0.05648888888888903,negligible,,,,,
AllCode,ExpIdSnippets,MAP,300,0.5650899470899471,0.5969193121693122,-0.03182936507936507,42627.0,0.23440387575265564,-0.05273333333333341,negligible,,,,,
AllCode,AllField,MAP,300,0.5650899470899471,0.5923412698412699,-0.027251322751322804,42841.0,0.27963870283546755,-0.047977777777777675,negligible,,,,,
Baseline,ExpId,MAP,300,0.503419312169312,0.5282116402116402,-0.024792328042328227,42863.5,0.29517947927630295,-0.04747777777777784,negligible,,,,,
Baseline,IdSnippets,MAP,300,0.503419312169312,0.5507804232804233,-0.0473611111111113,43029.0,0.3277951801683353,-0.04380000000000006,negligible,,,,,
AllCode,ExpId,MAP,300,0.5650899470899471,0.5282116402116402,0.036878306878306844,46347.0,0.5048349832042136,0.029933333333333367,negligible,,,,,
AllCode,IdSnippets,MAP,300,0.5650899470899471,0.5507804232804233,0.014309523809523772,45848.5,0.6697184946975014,0.018855555555555625,negligible,,,,,
AllField,ExpIdSnippets,MAP,300,0.5923412698412699,0.5969193121693122,-0.004578042328042264,44723.0,0.89001965418547,-0.00615555555555547,negligible,,,,,
ExpId,IdSnippets,MAP,300,0.5282116402116402,0.5507804232804233,-0.02256878306878307,44764.5,0.9073354239362281,-0.005233333333333423,negligible,,,,,
