A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
ExpIdSnippets,Expl,Hit,300,0.4766666666666667,0.30666666666666664,0.17000000000000004,,2.987848011318003e-10,0.16999999999999993,small,6,57,-51,-0.8095238095238095,0.10526315789473684
AllField,Expl,Hit,300,0.47333333333333333,0.30666666666666664,0.16666666666666669,,9.06836065339057e-10,0.16666666666666674,small,7,57,-50,-0.78125,0.12280701754385964
ExpId,Expl,Hit,300,0.4,0.30666666666666664,0.09333333333333338,,1.8152814274403543e-06,0.09333333333333327,negligible,2,30,-28,-0.875,0.06666666666666667
AllCode,Expl,Hit,300,0.47333333333333333,0.30666666666666664,0.16666666666666669,,2.4167846390441103e-06,0.16666666666666674,small,29,79,-50,-0.46296296296296297,0.3670886075949367
Expl,IdSnippets,Hit,300,0.30666666666666664,0.47,-0.16333333333333333,,2.8089040436829e-06,-0.16333333333333333,small,77,28,49,0.4666666666666667,2.75
ExpId,ExpIdSnippets,Hit,300,0.4,0.4766666666666667,-0.07666666666666666,,0.0013318368153214166,-0.07666666666666666,negligible,35,12,23,0.48936170212765956,2.9166666666666665
Baseline,Expl,Hit,300,0.4,0.30666666666666664,0.09333333333333338,,0.0022345392261445235,0.09333333333333327,negligible,25,53,-28,-0.358974358974359,0.4716981132075472
AllField,ExpId,Hit,300,0.47333333333333333,0.4,0.0733333333333333,,0.0024367348089890124,0.07333333333333325,negligible,13,35,-22,-0.4583333333333333,0.37142857142857144
AllField,Baseline,Hit,300,0.47333333333333333,0.4,0.0733333333333333,,0.005825677828368395,0.07333333333333325,negligible,18,40,-22,-0.3793103448275862,0.45
Baseline,ExpIdSnippets,Hit,300,0.4,0.4766666666666667,-0.07666666666666666,,0.006357215082587968,-0.07666666666666666,negligible,44,21,23,0.35384615384615387,2.0952380952380953
AllCode,Baseline,Hit,300,0.47333333333333333,0.4,0.0733333333333333,,0.02685669550752441,0.07333333333333325,negligible,34,56,-22,-0.24444444444444444,0.6071428571428571
AllCode,ExpId,Hit,300,0.47333333333333333,0.4,0.0733333333333333,,0.028567681801513038,0.07333333333333325,negligible,35,57,-22,-0.2391304347826087,0.6140350877192983
Baseline,IdSnippets,Hit,300,0.4,0.47,-0.06999999999999995,,0.03400640286438695,-0.07000000000000006,negligible,55,34,21,0.23595505617977527,1.6176470588235294
ExpId,IdSnippets,Hit,300,0.4,0.47,-0.06999999999999995,,0.03808828420629209,-0.07000000000000006,negligible,57,36,21,0.22580645161290322,1.5833333333333333
AllCode,AllField,Hit,300,0.47333333333333333,0.47333333333333333,0.0,,0.8897069355331011,0.0,negligible,26,26,0,0.0,1.0
ExpIdSnippets,IdSnippets,Hit,300,0.4766666666666667,0.47,0.00666666666666671,,0.8936946693232326,0.006666666666666599,negligible,27,29,-2,-0.03571428571428571,0.9310344827586207
Baseline,ExpId,Hit,300,0.4,0.4,0.0,,0.9086766781799486,0.0,negligible,38,38,0,0.0,1.0
AllCode,IdSnippets,Hit,300,0.47333333333333333,0.47,0.003333333333333355,,1.0,0.0033333333333334103,negligible,9,10,-1,-0.05263157894736842,0.9
AllField,IdSnippets,Hit,300,0.47333333333333333,0.47,0.003333333333333355,,1.0,0.0033333333333334103,negligible,28,29,-1,-0.017543859649122806,0.9655172413793104
AllCode,ExpIdSnippets,Hit,300,0.47333333333333333,0.4766666666666667,-0.003333333333333355,,1.0,-0.0033333333333332993,negligible,29,28,1,0.017543859649122806,1.0357142857142858
AllField,ExpIdSnippets,Hit,300,0.47333333333333333,0.4766666666666667,-0.003333333333333355,,1.0,-0.0033333333333332993,negligible,4,3,1,0.14285714285714285,1.3333333333333333
